RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn
8309,3,122,4,122,44.68615999,181,84,83,0
451,3,123,1,84,49.93844774,181,84,83,0
4403,3,123,2,84,49.02037138,181,84,83,0
12137,3,123,5,84,49.67296926,181,84,83,0
493,3,123,1,85,52.19814554,181,84,83,0
8268,3,123,4,85,51.97923063,181,84,83,0
8310,3,123,4,122,54.2626598,181,84,83,0
452,3,124,1,84,52.79675532,181,84,83,0
4404,3,124,2,84,52.06006703,181,84,83,0
12138,3,124,5,84,52.63392369,181,84,83,0
494,3,124,1,85,53.29796583,181,84,83,0
8269,3,124,4,85,54.36282252,181,84,83,0
8311,3,124,4,122,55.82859248,181,84,83,0
15321,1,83,2,83,2.413122422,181,84,84,0
18104,1,83,4,83,17.77675938,181,84,84,0
20913,1,83,5,83,3.906217005,181,84,84,0
23548,2,83,4,83,16.28800226,181,84,84,0
26429,2,83,5,83,4.880160845,181,84,84,0
28916,4,83,5,83,20.20525612,181,84,84,0
18143,1,83,4,84,30.34743657,181,84,84,0
23580,2,83,4,84,31.7410989,181,84,84,0
28917,4,84,5,83,28.6801034,181,84,84,0
15330,1,92,2,83,32.94938003,181,84,84,0
18113,1,92,4,83,17.30823442,181,84,84,0
20922,1,92,5,83,36.250687,181,84,84,0
18152,1,92,4,84,48.26233997,181,84,84,0
408,3,122,1,83,24.69002565,181,84,84,0
4360,3,122,2,83,26.23363229,181,84,84,0
8183,3,122,4,83,36.56213726,181,84,84,0
12094,3,122,5,83,22.23009915,181,84,84,0
8225,3,122,4,84,11.09133019,181,84,84,0
786,3,122,1,92,47.83191947,181,84,84,0
409,3,123,1,83,4.325441055,181,84,84,0
4361,3,123,2,83,4.039484183,181,84,84,0
8184,3,123,4,83,17.98410386,181,84,84,0
12095,3,123,5,83,7.276510737,181,84,84,0
8226,3,123,4,84,34.06918404,181,84,84,0
787,3,123,1,92,35.03957418,181,84,84,0
410,3,124,1,83,18.93768837,181,84,84,0
4362,3,124,2,83,17.10405833,181,84,84,0
8185,3,124,4,83,5.944693346,181,84,84,0
12096,3,124,5,83,20.95755089,181,84,84,0
8227,3,124,4,84,41.38909248,181,84,84,0
788,3,124,1,92,18.62817062,181,84,84,0
15399,1,83,2,86,61.38567397,181,84,86,0
18260,1,83,4,86,59.0896498,181,84,86,0
20991,1,83,5,86,60.8478234,181,84,86,0
23676,2,83,4,86,59.86186827,181,84,86,0
26493,2,83,5,86,61.59466277,181,84,86,0
28978,4,83,5,86,63.25343543,181,84,86,0
15438,1,83,2,87,61.04714606,181,84,86,0
28979,4,84,5,86,48.88254307,181,84,86,0
15408,1,92,2,86,67.37068657,181,84,86,0
18269,1,92,4,86,65.38772783,181,84,86,0
21000,1,92,5,86,67.31753311,181,84,86,0
15447,1,92,2,87,67.31575568,181,84,86,0
534,3,122,1,86,56.87990776,181,84,86,0
4444,3,122,2,86,55.43512884,181,84,86,0
8351,3,122,4,86,51.94575832,181,84,86,0
12178,3,122,5,86,53.78896146,181,84,86,0
576,3,122,1,87,51.81864134,181,84,86,0
4486,3,122,2,87,53.35096901,181,84,86,0
535,3,123,1,86,64.93355284,181,84,86,0
4445,3,123,2,86,63.25354638,181,84,86,0
8352,3,123,4,86,61.13632878,181,84,86,0
12179,3,123,5,86,62.84622463,181,84,86,0
577,3,123,1,87,61.76296666,181,84,86,0
4487,3,123,2,87,63.14797466,181,84,86,0
536,3,124,1,86,67.14378195,181,84,86,0
4446,3,124,2,86,65.45829845,181,84,86,0
8353,3,124,4,86,63.36201694,181,84,86,0
12180,3,124,5,86,65.15864888,181,84,86,0
578,3,124,1,87,63.61693962,181,84,86,0
4488,3,124,2,87,65.20508804,181,84,86,0
15363,1,86,2,84,50.68154095,181,86,83,0
20955,1,86,5,84,50.69740398,181,86,83,0
26463,2,86,5,84,48.6631931,181,86,83,0
453,3,86,1,84,40.73587787,181,86,83,0
4405,3,86,2,84,40.76929896,181,86,83,0
12139,3,86,5,84,40.71621846,181,86,83,0
28951,4,86,5,84,42.12764984,181,86,83,0
18185,1,86,4,85,51.43522053,181,86,83,0
